Year_waste	R1_F_waste	R2_F_waste	R3_F_waste	Year	f_inc_R1	f_landf_R1	f_mism_R1	f_rec_R1	f_inc_R23	f_landf_R23	f_mism_R23	f_rec_R23	OECD_RA_F_waste_R1	OECD_RA_F_waste_R23	OECD_GA_F_waste_R123
1950	0.000	0.000	0.000	1950	0.00000	0.80023	0.19977	0.00000	0.00000	0.43885	0.56115	0.00000	0.000	0.000	0.000
1951	0.085	0.002	0.000	1951	0.00000	0.80023	0.19977	0.00000	0.00000	0.43885	0.56115	0.00000	0.000	0.000	0.000
1952	0.173	0.004	0.000	1952	0.00000	0.80023	0.19977	0.00000	0.00000	0.43903	0.56098	0.00000	0.000	0.000	0.000
1953	0.265	0.007	0.000	1953	0.00000	0.80011	0.19989	0.00000	0.00000	0.43960	0.56041	0.00000	0.000	0.000	0.000
1954	0.360	0.011	0.000	1954	0.00000	0.79973	0.20027	0.00000	0.00000	0.44036	0.55964	0.00000	0.000	0.000	0.000
1955	0.459	0.015	0.000	1955	0.00000	0.79941	0.20059	0.00000	0.00000	0.44083	0.55917	0.00000	0.000	0.000	0.000
1956	0.561	0.019	0.000	1956	0.00000	0.79924	0.20076	0.00000	0.00000	0.44114	0.55886	0.00000	0.000	0.000	0.000
1957	0.667	0.025	0.000	1957	0.00000	0.79919	0.20081	0.00000	0.00000	0.44134	0.55867	0.00000	0.000	0.000	0.000
1958	0.777	0.031	0.000	1958	0.00000	0.79913	0.20087	0.00000	0.00000	0.44164	0.55836	0.00000	0.000	0.000	0.000
1959	0.891	0.038	0.000	1959	0.00000	0.79918	0.20082	0.00000	0.00000	0.44174	0.55826	0.00000	0.000	0.000	0.000
1960	1.008	0.046	0.001	1960	0.00000	0.79919	0.20081	0.00000	0.00000	0.44203	0.55797	0.00000	0.000	0.000	0.000
1961	1.130	0.054	0.003	1961	0.00000	0.79919	0.20081	0.00000	0.00000	0.44242	0.55759	0.00000	0.000	0.000	0.000
1962	1.256	0.064	0.005	1962	0.00000	0.79924	0.20076	0.00000	0.00000	0.44266	0.55734	0.00000	0.000	0.000	0.000
1963	1.387	0.074	0.008	1963	0.00000	0.79927	0.20073	0.00000	0.00000	0.44291	0.55709	0.00000	0.000	0.000	0.000
1964	1.523	0.085	0.012	1964	0.00000	0.79930	0.20070	0.00000	0.00000	0.44304	0.55696	0.00000	0.000	0.000	0.000
1965	1.663	0.098	0.016	1965	0.00000	0.79931	0.20069	0.00000	0.00000	0.44316	0.55684	0.00000	0.000	0.000	0.000
1966	1.808	0.111	0.020	1966	0.00000	0.79933	0.20067	0.00000	0.00000	0.44322	0.55678	0.00000	0.000	0.000	0.000
1967	1.957	0.126	0.026	1967	0.00000	0.79933	0.20067	0.00000	0.00000	0.44336	0.55664	0.00000	0.000	0.000	0.000
1968	2.109	0.142	0.032	1968	0.00000	0.79934	0.20066	0.00000	0.00000	0.44333	0.55667	0.00000	0.000	0.000	0.000
1969	2.265	0.160	0.038	1969	0.00000	0.79935	0.20065	0.00000	0.00000	0.44330	0.55671	0.00000	0.000	0.000	0.000
1970	2.425	0.179	0.046	1970	0.00000	0.79932	0.20069	0.00000	0.00000	0.44349	0.55651	0.00000	0.000	0.000	0.000
1971	2.590	0.199	0.054	1971	0.00000	0.79929	0.20071	0.00000	0.00000	0.44365	0.55635	0.00000	0.000	0.000	0.000
1972	2.761	0.221	0.063	1972	0.00000	0.79928	0.20072	0.00000	0.00000	0.44370	0.55630	0.00000	0.000	0.000	0.000
1973	2.938	0.245	0.073	1973	0.00000	0.79927	0.20073	0.00000	0.00000	0.44372	0.55628	0.00000	0.000	0.000	0.000
1974	3.120	0.270	0.084	1974	0.00000	0.79922	0.20078	0.00000	0.00000	0.44403	0.55597	0.00000	0.000	0.000	0.000
1975	3.305	0.298	0.097	1975	0.00000	0.79912	0.20089	0.00000	0.00000	0.44472	0.55528	0.00000	0.000	0.000	0.000
1976	3.493	0.331	0.110	1976	0.00000	0.79913	0.20087	0.00000	0.00000	0.44481	0.55519	0.00000	0.000	0.000	0.000
1977	3.685	0.366	0.124	1977	0.00000	0.79912	0.20088	0.00000	0.00000	0.44500	0.55500	0.00000	0.000	0.000	0.000
1978	3.881	0.398	0.140	1978	0.00000	0.79912	0.20088	0.00000	0.00000	0.44524	0.55476	0.00000	0.000	0.000	0.000
1979	4.079	0.432	0.157	1979	0.00000	0.79919	0.20081	0.00000	0.00000	0.44537	0.55463	0.00000	0.000	0.000	0.000
1980	4.285	0.472	0.176	1980	0.00000	0.79924	0.20077	0.00000	0.00000	0.44578	0.55422	0.00000	0.000	0.000	0.000
1981	4.493	0.513	0.197	1981	0.00000	0.79881	0.20119	0.00000	0.00263	0.43804	0.55784	0.00148	0.000	0.000	0.000
1982	4.698	0.558	0.219	1982	0.00000	0.79924	0.20076	0.00000	0.00260	0.43497	0.55948	0.00295	0.000	0.000	0.000
1983	4.904	0.606	0.243	1983	0.00000	0.80169	0.19831	0.00000	0.00258	0.42807	0.56493	0.00442	0.000	0.000	0.000
1984	5.113	0.658	0.268	1984	0.00000	0.80502	0.19498	0.00000	0.00255	0.42076	0.57079	0.00589	0.000	0.000	0.000
1985	5.324	0.712	0.295	1985	0.00681	0.80322	0.18997	0.00000	0.00253	0.41778	0.57234	0.00736	0.000	0.000	0.000
1986	5.538	0.770	0.324	1986	0.00955	0.80477	0.18568	0.00000	0.00251	0.40827	0.58038	0.00883	0.000	0.000	0.000
1987	5.755	0.831	0.356	1987	0.01232	0.80656	0.18112	0.00000	0.00250	0.40184	0.58534	0.01032	0.000	0.000	0.000
1988	5.976	0.894	0.388	1988	0.01509	0.80977	0.17515	0.00000	0.00247	0.39649	0.58922	0.01183	0.000	0.000	0.000
1989	6.199	0.960	0.423	1989	0.01784	0.81238	0.16978	0.00000	0.00244	0.39441	0.58982	0.01333	0.000	0.000	0.000
1990	6.426	1.029	0.460	1990	0.02739	0.80400	0.16473	0.00389	0.00240	0.40887	0.57392	0.01482	0.000	0.000	0.000
1991	6.655	1.101	0.500	1991	0.03917	0.79173	0.16127	0.00783	0.00237	0.40849	0.57291	0.01623	0.000	0.000	0.000
1992	6.887	1.177	0.541	1992	0.05105	0.77935	0.15778	0.01182	0.00235	0.40803	0.57195	0.01767	0.000	0.000	0.000
1993	7.122	1.255	0.585	1993	0.06301	0.76688	0.15426	0.01585	0.00233	0.40774	0.57084	0.01909	0.000	0.000	0.000
1994	7.360	1.337	0.627	1994	0.07509	0.75429	0.15069	0.01993	0.00232	0.40720	0.56994	0.02054	0.000	0.000	0.000
1995	7.601	1.422	0.673	1995	0.08723	0.74166	0.14710	0.02401	0.00231	0.40702	0.56871	0.02196	0.000	0.000	0.000
1996	7.847	1.509	0.728	1996	0.09947	0.72892	0.14347	0.02814	0.00229	0.40678	0.56754	0.02339	0.000	0.000	0.000
1997	8.097	1.600	0.787	1997	0.11180	0.71609	0.13981	0.03230	0.00228	0.40655	0.56634	0.02483	0.000	0.000	0.000
1998	8.343	1.693	0.845	1998	0.12419	0.70317	0.13614	0.03649	0.00227	0.40657	0.56491	0.02625	0.000	0.000	0.000
1999	8.588	1.789	0.906	1999	0.13668	0.69015	0.13244	0.04074	0.00226	0.40650	0.56355	0.02770	0.000	0.000	0.000
2000	8.844	1.889	0.972	2000	0.14924	0.67705	0.12871	0.04500	0.00224	0.40658	0.56204	0.02914	0.000	0.000	0.000
2001	9.108	1.993	1.041	2001	0.16186	0.66388	0.12497	0.04930	0.00222	0.40689	0.56031	0.03057	0.000	0.000	0.000
2002	9.392	2.101	1.114	2002	0.17458	0.65060	0.12119	0.05363	0.00221	0.40704	0.55873	0.03203	0.000	0.000	0.000
2003	9.704	2.212	1.191	2003	0.18738	0.63724	0.11738	0.05800	0.00220	0.40732	0.55701	0.03347	0.000	0.000	0.000
2004	10.031	2.329	1.273	2004	0.20027	0.62379	0.11353	0.06241	0.00219	0.40756	0.55533	0.03492	0.000	0.000	0.000
2005	10.356	2.451	1.359	2005	0.21324	0.61032	0.10966	0.06678	0.00217	0.40802	0.55347	0.03634	0.000	0.000	0.000
2006	10.677	2.584	1.451	2006	0.22633	0.59677	0.10576	0.07115	0.00217	0.40835	0.55171	0.03777	0.000	0.000	0.000
2007	11.018	2.734	1.547	2007	0.23950	0.58317	0.10182	0.07551	0.00216	0.40873	0.54991	0.03920	0.000	0.000	0.000
2008	11.369	2.877	1.650	2008	0.25270	0.56957	0.09787	0.07985	0.00213	0.40979	0.54753	0.04056	0.000	0.000	0.000
2009	11.704	3.017	1.757	2009	0.26604	0.55588	0.09389	0.08419	0.00212	0.41052	0.54542	0.04194	0.000	0.000	0.000
